table,item_name,url,description
t2,Transfers from Depositaries,,"This line item is no longer in use. The Treasury Tax and Loan (TT&L) account summarized in Table V was the program through which Treasury invested its short term excess cash with outside banks until November 2008 when the program was suspended. Treasury subsequently decommissioned the legacy TT&L system through which investments were made.  In the beginning of October 2012, the program was renamed to 'Short Term Cash Investments,' which is the current name for Table V and related line items. Both names represent Treasury‰Ûªs short term cash investments (i.e. short term extra cash invested with external counterparties).    "
t2,Transfers from Federal Reserve Account Table V,,"This line item is no longer in use. The Treasury Tax and Loan (TT&L) account summarized in Table V was the program through which Treasury invested its short term excess cash with outside banks until November 2008 when the program was suspended. Treasury subsequently decommissioned the legacy TT&L system through which investments were made.  In the beginning of October 2012, the program was renamed to 'Short Term Cash Investments,' which is the current name for Table V and related line items. Both names represent Treasury‰Ûªs short term cash investments (i.e. short term extra cash invested with external counterparties).    "
t2,Transfers to Depositaries,,"This line item is no longer in use. The Treasury Tax and Loan (TT&L) account summarized in Table V was the program through which Treasury invested its short term excess cash with outside banks until November 2008 when the program was suspended. Treasury subsequently decommissioned the legacy TT&L system through which investments were made.  In the beginning of October 2012, the program was renamed to 'Short Term Cash Investments,' which is the current name for Table V and related line items. Both names represent Treasury‰Ûªs short term cash investments (i.e. short term extra cash invested with external counterparties).    "
t2,Transfers to Federal Reserve Account Table V,,"This line item is no longer in use. The Treasury Tax and Loan (TT&L) account summarized in Table V was the program through which Treasury invested its short term excess cash with outside banks until November 2008 when the program was suspended. Treasury subsequently decommissioned the legacy TT&L system through which investments were made.  In the beginning of October 2012, the program was renamed to 'Short Term Cash Investments,' which is the current name for Table V and related line items. Both names represent Treasury‰Ûªs short term cash investments (i.e. short term extra cash invested with external counterparties).    "
t2,Transportation Security Admin ( DHS ),http://www.tsa.gov/,This is the agency that provides security for U.S. airports.
t2,Treasury Department programs,http://www.treasury.gov/Pages/default.aspx,This line item covers all the government programs run by the Department of the Treasury.
t2,Treasury Dept: Claims Payments,,"This line item refers to claims paid by the Judgment Fund, which was established to pay court judgments and fund Justice Department  settlements of actual or imminent lawsuits against the government. 
"
t2,U S District Courts,http://www.uscourts.gov/FederalCourts/UnderstandingtheFederalCourts/DistrictCourts.aspx,The United States district courts are the trial courts of the federal court system.
t2,U S Enrichment Corp,http://www.usec.com/,"This line item reflects transactions over $50 million for the U.S. Enrichment Corporation, a former arm of the U.S. government that enriched uranium for commercial use in nuclear power plants. Proceeds from its privatization are booked separately under 'Asset Sale: U S Enrichment Corp'."
t2,USDA: Forest Service,http://www.fs.fed.us/,This is the division of the Department of Agriculture that cares for U.S. forests.
t2,Unclassified,,All other withdrawals of Treasury cash under $50 million fall under this line item.
t2,Unemployment Insurance Benefits,,"The Unemployment Insurance program provides temporary payments to individuals who are unemployed. This line item reflects benefits transferred to states, who make the benefits payments to eligible individuals."
t2,Veterans Affairs Programs,http://www.va.gov/,"These are programs run by the Department of Veterans Affairs, which is the agency in charge of providing patient care and benefits to veterans."
t2,Veterans Assets Sales,,Proceeds from the sale of excess property to the general public by the Department of Veterans Affairs.
t2,Veterans Benefits ( EFT ),http://www.va.gov/,This line item reflects healthcare and other benefits paid to veterans by the Veterans Benefits Administration via electronic funds transfer.
